left,price,room,salon,area,age,province,district
Daire,9250000.0,3.0,1.0,135.0,10.0,İzmir , Güzelbahçe 
Daire,2790000.0,3.0,1.0,135.0,30.0,İzmir , Bornova 
Köşk,16500000.0,5.0,1.0,220.0,130.0,İzmir , Bayraklı 
Daire,3850000.0,2.0,1.0,150.0,11.0,İzmir , Buca 
Daire,3850000.0,3.0,1.0,140.0,21.0,İzmir , Buca 
Villa,13500000.0,3.0,1.0,140.0,20.0,İzmir , Çeşme 
Villa,23500000.0,4.0,2.0,150.0,8.0,İzmir , Çeşme 
Daire,4250000.0,3.0,1.0,130.0,8.0,İzmir , Menemen 
Daire,1750000.0,1.0,1.0,55.0,5.0,İzmir , Menemen 
Daire,4650000.0,3.0,1.0,130.0,27.0,İzmir , Balçova 
Daire,2310000.0,3.0,1.0,115.0,10.0,İzmir , Çiğli 
Villa,11950000.0,4.0,2.0,190.0,22.0,İzmir , Urla 
Daire,4900000.0,3.0,1.0,150.0,8.0,İzmir , Karşıyaka 
Daire,3900000.0,2.0,1.0,130.0,30.0,İzmir , Karşıyaka 
Daire,3500000.0,2.0,1.0,100.0,4.0,İzmir , Karabağlar 
Daire,3200000.0,3.0,1.0,105.0,27.0,İzmir , Balçova 
Daire,2150000.0,1.0,1.0,50.0,8.0,İzmir , Karşıyaka 
Daire,3480000.0,3.0,1.0,150.0,2.0,İzmir , Konak 
Villa,7500000.0,2.0,1.0,135.0,30.0,İzmir , Dikili 
Daire,2750000.0,2.0,1.0,95.0,11.0,İzmir , Torbalı 
Daire,1000000.0,2.0,1.0,65.0,20.0,İzmir , Çiğli 
Daire,2380000.0,2.0,1.0,80.0,3.0,İzmir , Karabağlar 
Daire,2350000.0,3.0,1.0,120.0,21.0,İzmir , Buca 
Villa,10500000.0,3.0,1.0,180.0,20.0,İzmir , Urla 
Daire,3295000.0,2.0,1.0,100.0,35.0,İzmir , Karabağlar 
Daire,1990000.0,3.0,1.0,130.0,20.0,İzmir , Menemen 
Villa,19000000.0,3.0,1.0,250.0,1.0,İzmir , Narlıdere 
Villa,95000000.0,5.0,2.0,5.5,2.0,İzmir , Karaburun 
Daire,2750000.0,2.0,1.0,100.0,6.0,İzmir , Çiğli 
Daire,3100000.0,3.0,1.0,125.0,30.0,İzmir , Konak 
Daire,5850000.0,3.0,1.0,220.0,35.0,İzmir , Konak 
Villa,19350000.0,4.0,1.0,220.0,5.0,İzmir , Urla 
Daire,2100000.0,3.0,1.0,130.0,25.0,İzmir , Karabağlar 
Villa,21500000.0,3.0,1.0,180.0,9.0,İzmir , Çeşme 
Villa,9950000.0,3.0,1.0,220.0,1.0,İzmir , Urla 
Daire,2950000.0,2.0,1.0,105.0,4.0,İzmir , Karabağlar 
Daire,2750000.0,3.0,1.0,150.0,16.0,İzmir , Buca 
Daire,3190000.0,3.0,1.0,120.0,35.0,İzmir , Karabağlar 
Müstakil,7850000.0,3.0,1.0,140.0,26.0,İzmir , Güzelbahçe 
Daire,5000000.0,3.0,1.0,140.0,10.0,İzmir , Kemalpaşa 
Daire,3599000.0,2.0,1.0,100.0,11.0,İzmir , Gaziemir 
Daire,3100000.0,3.0,1.0,125.0,25.0,İzmir , Balçova 
